Ponto;Longitude;Latitude;Altitude;Data;Ponto_de_controle;Unidade;Numero_de_amostras;Xistosidade_st;Xistosidade_mg
PTI-2001;-48,79127285768015;-27,198992950016493;125,2832184;2022-05-24;Não;Complexo Metamórfico Brusque;2;240,0;30,0
PTI-2002;-48,78323330746765;-27,196230869498727;53,412632;2022-05-24;Não;Complexo Metamórfico Brusque;0;;
PTI-2003;-48,77848020052429;-27,193159506119095;39,8128319;2022-05-24;Não;Complexo Metamórfico Brusque;2;220,0;35,0
PTI-2004;-48,76419467332028;-27,189385759142308;24,973856;2022-05-24;Não;Complexo Metamórfico Brusque;2;240,0;40,0
PTI-2005;-48,777240421102675;-27,193591065223927;44,2720604;2022-05-25;Não;Complexo Metamórfico Brusque;2;;
PTI-2006;-48,7758186174188;-27,195057525047755;37,8749352;2022-05-25;Não;Depósitos Cenozoicos;0;;
PTI-2007;-48,77501746103169;-27,196777482373538;41,4844971;2022-05-25;Não;Complexo Metamórfico Brusque;0;170,0;55,0
PTI-2008;-48,77525003937516;-27,198279217657028;56,8256264;2022-05-25;Não;Complexo Metamórfico Brusque;0;182,0;60,0
PTI-2009;-48,77258055921663;-27,20259556320479;71,8862839;2022-05-25;Não;Complexo Metamórfico Brusque;0;200,0;45,0
PTI-2010;-48,76976202843927;-27,20070073757785;50,5371666;2022-05-25;Sim;;0;;
PTI-2011;-48,76755094747817;-27,199221633186806;47,3423424;2022-05-25;Não;Complexo Metamórfico Brusque;2;245,0;55,0
PTI-2012;-48,76513059643266;-27,198623541416126;39,1403923;2022-05-25;Sim;;0;;
PTI-2013;-48,763733401973816;-27,19631809854207;35,2748528;2022-05-25;Não;Complexo Metamórfico Brusque;0;;
PTI-2014;-48,76274288063246;-27,1958871690219;59,0047188;2022-05-25;Sim;;0;;
PTI-2015;-48,76315940531456;-27,19524406826006;32,6324959;2022-05-25;Não;Complexo Metamórfico Brusque;0;190,0;43,0
PTI-2016;-48,759677847585415;-27,19523357121143;63,2190781;2022-05-25;Não;Complexo Metamórfico Brusque;3;;
PTI-2017;-48,765186473574005;-27,192280336966917;38,1379166;2022-05-25;Não;Complexo Metamórfico Brusque;0;;
PTI-2018;-48,76667694977159;-27,189398264022792;31,3335247;2022-05-25;Não;Depósitos Cenozoicos;0;;
PTI-2019;-48,7696615296261;-27,1900323745946;29,8150158;2022-05-25;Não;Depósitos Cenozoicos;0;;
PTI-2020;-48,77753193604453;-27,191104963799397;41,443531;2022-05-26;Não;Complexo Metamórfico Brusque;1;200,0;40,0
PTI-2021;-48,775116647995254;-27,188223966772554;46,0139961;2022-05-26;Sim;;0;;
PTI-2022;-48,77503170222526;-27,18436921502471;62,4779663;2022-05-26;Não;Depósitos Cenozoicos;0;;
PTI-2023;-48,774730496595176;-27,182767120778806;72,8826065;2022-05-26;Não;Complexo Metamórfico Brusque;0;;
PTI-2024;-48,7752472329723;-27,180627523194573;96,7387238;2022-05-26;Sim;;0;;
PTI-2025;-48,775776784267954;-27,17885812494803;116,8772583;2022-05-26;Não;;0;;
PTI-2026;-48,775058657656864;-27,177926243227336;122,8243484;2022-05-26;Não;Complexo Metamórfico Brusque;1;225,0;53,0
PTI-2027;-48,77469109201809;-27,177126264413815;142,7967224;2022-05-26;Não;Complexo Metamórfico Brusque;4;230,0;30,0
PTI-2028;-48,77479608041918;-27,19064643018405;35,7196884;2022-05-26;Não;Depósitos Cenozoicos;0;;
PTI-2029;-48,7718756973909;-27,191349051253113;36,8670082;2022-05-26;Sim;;0;;
PTI-2030;-48,76801656196038;-27,18648669538211;36,525219;2022-05-26;Sim;;0;;
PTI-2031;-48,76727289185431;-27,18582509858496;53,9047813;2022-05-26;Não;Complexo Metamórfico Brusque;0;180,0;35,0
PTI-2032;-48,76819381061341;-27,183159536197735;121,6553574;2022-05-26;Sim;;0;;
PTI-2033;-48,7676955655971;-27,180308934461;154,1878967;2022-05-26;Não;Complexo Metamórfico Brusque;0;;
PTI-2034;-48,76620804383995;-27,18102523434511;175,5617981;2022-05-26;Sim;;0;;
PTI-2035;-48,77518836240236;-27,19935213606444;48,5979958;2022-05-27;Não;Depósitos Cenozoicos;0;;
PTI-2036;-48,77533890889266;-27,201935490238956;57,0160713;2022-05-27;Não;Complexo Metamórfico Brusque;0;;
PTI-2037;-48,77549131704182;-27,203408878765945;63,5893822;2022-05-27;Não;Complexo Metamórfico Brusque;0;173,0;50,0
PTI-2038;-48,778222199721135;-27,202098559274514;47,2902756;2022-05-27;Não;Depósitos Cenozoicos;0;;
PTI-2039;-48,7808223593704;-27,202798546895362;65,089035;2022-05-27;Não;Complexo Metamórfico Brusque;0;230,0;40,0
PTI-2040;-48,77955791429212;-27,20039608107865;61,2051964;2022-05-27;Sim;;0;;
PTI-2041;-48,78128938161649;-27,199602292313486;117,4340439;2022-05-27;Sim;;0;;
PTI-2042;-48,777681613458284;-27,19882316824108;50,6855469;2022-05-27;Sim;;0;;
PTI-2043;-48,77691928865622;-27,1970603499862;45,2702217;2022-05-27;Não;Complexo Metamórfico Brusque;0;;
PTI-2044;-48,77676949878517;-27,196471390168842;49,1523705;2022-05-27;Não;Complexo Metamórfico Brusque;4;190,0;35,0
PTI-2045;-48,77528257900487;-27,197657054036387;47,0910683;2022-05-27;Não;Complexo Metamórfico Brusque;0;;
PTI-2046;-48,77460853871229;-27,20059731240551;51,6965027;2022-05-27;Sim;;0;;
PTI-2047;-48,77111304542917;-27,20482830705731;93,6265182;2022-05-27;Sim;;0;;
