codigo;latitude;longitude;altitude;src;data_mapeado;afloramento;unidade;amostras;sentido_foliacao;mergulho_foliacao
PTI-2001;-27,19899;-48,79127;125;WGS 84;24/05/2022;Sim;Complexo Metamórfico Brusque;2;240;30
PTI-2002;-27,19623;-48,78323;53;WGS 84;24/05/2022;Sim;Complexo Metamórfico Brusque;0;;
PTI-2003;-27,19316;-48,77848;40;WGS 84;24/05/2022;Sim;Complexo Metamórfico Brusque;2;220;35
PTI-2004;-27,18939;-48,76419;25;WGS 84;24/05/2022;Sim;Complexo Metamórfico Brusque;2;240;40
PTI-2005;-27,19359;-48,77724;44;WGS 84;25/05/2022;Sim;Complexo Metamórfico Brusque;2;;
PTI-2006;-27,19506;-48,77582;38;WGS 84;25/05/2022;Sim;Depósitos Cenozoicos;0;;
PTI-2007;-27,19678;-48,77502;41;WGS 84;25/05/2022;Sim;Complexo Metamórfico Brusque;0;170;55
PTI-2008;-27,19828;-48,77525;57;WGS 84;25/05/2022;Sim;Complexo Metamórfico Brusque;0;182;60
PTI-2009;-27,2026;-48,77258;72;WGS 84;25/05/2022;Sim;Complexo Metamórfico Brusque;0;200;45
PTI-2010;-27,2007;-48,76976;51;WGS 84;25/05/2022;Não;;0;;
PTI-2011;-27,19922;-48,76755;47;WGS 84;25/05/2022;Sim;Complexo Metamórfico Brusque;2;245;55
PTI-2012;-27,19862;-48,76513;39;WGS 84;25/05/2022;Não;;0;;
PTI-2013;-27,19632;-48,76373;35;WGS 84;25/05/2022;Sim;Complexo Metamórfico Brusque;0;;
PTI-2014;-27,19589;-48,76274;59;WGS 84;25/05/2022;Não;;0;;
PTI-2015;-27,19524;-48,76316;33;WGS 84;25/05/2022;Sim;Complexo Metamórfico Brusque;0;190;43
PTI-2016;-27,19523;-48,75968;63;WGS 84;25/05/2022;Sim;Complexo Metamórfico Brusque;3;;
PTI-2017;-27,19228;-48,76519;38;WGS 84;25/05/2022;Sim;Complexo Metamórfico Brusque;0;;
PTI-2018;-27,1894;-48,76668;31;WGS 84;25/05/2022;Sim;Depósitos Cenozoicos;0;;
PTI-2019;-27,19003;-48,76966;30;WGS 84;25/05/2022;Sim;Depósitos Cenozoicos;0;;
PTI-2020;-27,1911;-48,77753;41;WGS 84;26/05/2022;Sim;Complexo Metamórfico Brusque;1;200;40
PTI-2021;-27,18822;-48,77512;46;WGS 84;26/05/2022;Não;;0;;
PTI-2022;-27,18437;-48,77503;62;WGS 84;26/05/2022;Sim;Depósitos Cenozoicos;0;;
PTI-2023;-27,18277;-48,77473;73;WGS 84;26/05/2022;Sim;Complexo Metamórfico Brusque;0;;
PTI-2024;-27,18063;-48,77525;97;WGS 84;26/05/2022;Não;;0;;
PTI-2025;-27,17886;-48,77578;117;WGS 84;26/05/2022;Não;;0;;
PTI-2026;-27,17793;-48,77506;123;WGS 84;26/05/2022;Sim;Complexo Metamórfico Brusque;1;225;53
PTI-2027;-27,17713;-48,77469;143;WGS 84;26/05/2022;Sim;Complexo Metamórfico Brusque;4;230;30
PTI-2028;-27,19065;-48,7748;36;WGS 84;26/05/2022;Sim;Depósitos Cenozoicos;0;;
PTI-2029;-27,19135;-48,77188;37;WGS 84;26/05/2022;Não;;0;;
PTI-2030;-27,18649;-48,76802;37;WGS 84;26/05/2022;Não;;0;;
PTI-2031;-27,18583;-48,76727;54;WGS 84;26/05/2022;Sim;Complexo Metamórfico Brusque;0;180;35
PTI-2032;-27,18316;-48,76819;122;WGS 84;26/05/2022;Não;;0;;
PTI-2033;-27,18031;-48,7677;154;WGS 84;26/05/2022;Sim;Complexo Metamórfico Brusque;0;;
